Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_Push,C318884
"C1, C11, C2, C3, C6",402,5,1u,C52923
"C10, C12",402,2,22p,C1555
"C13, C14, C15, C16, C4, C7, C8, C9",402,8,100n,C1525
C5,603,1,10u,C19702
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D52, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_SOD-123_xomm,60,D_Small,C81598
J1,JST_SH_BM07B-SRSS-TB_1x07-1MP_P1.00mm_Vertical,1,Conn_01x07,C160393
"MX1, MX16, MX2, MX3, MX32, MX53, MX54, MX55",SW_MX_HS_S_CPG151101S11_1u,8,MX_SW_HS,C5156480
"MX10, MX11, MX12, MX13, MX14, MX15, MX17, MX18, MX19, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX30, MX31, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX45, MX46, MX47, MX48, MX5, MX50, MX52, MX56, MX57, MX59, MX6, MX61, MX62, MX63, MX64, MX65, MX66, MX68, MX7, MX70, MX71, MX72, MX73, MX74, MX75, MX76, MX77, MX78, MX8, MX81, MX82, MX83, MX84, MX85, MX86, MX87, MX88, MX89, MX9",SW_MX_HS_CPG151101S11_1u,70,MX_SW_HS,C5156480
"MX33, MX44",SW_MX_HS_CPG151101S11_1.5u,2,MX_SW_HS,C5156480
"MX49, MX51, MX58, MX60, MX69, MX90",SW_MX_HS_CPG151101S11_1.25u,6,MX_SW_HS,C5156480
"MX79, MX80",SW_MX_HS_CPG151101S11_1.75u,2,MX_SW_HS,C5156480
"MXS1, MXS2",SW_MX_1u,2,MX_SW_HS,C5156480
"R3, R4, R5",402,3,5.1k,C25905
"R6, R9",402,2,1k,C11702
"R7, R8",402,2,27,C25100
U1,SOT-23-3,1,XC6206PxxxMR,C2897477
U2,SOT-23-6-routable,1,SRV05-4,C2836319
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C403945
