Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,315.868876,-37.597624,0.0,bottom
C1,40.23342,-31.68936,270.0,bottom
C10,309.6181,-74.506968,135.0,bottom
C11,322.119652,-57.540576,90.0,bottom
C12,306.046228,-74.655796,45.0,bottom
C13,306.733526,-70.235467,315.0,bottom
C14,303.962636,-56.201124,90.0,bottom
C15,307.38568,-56.201124,90.0,bottom
C16,308.427476,-56.201124,90.0,bottom
C2,34.329672,-29.779361,90.0,bottom
C3,305.004432,-56.201124,90.0,bottom
C4,305.541323,-70.118248,315.0,bottom
C5,302.220072,-56.201124,90.0,bottom
C6,302.220072,-59.630432,90.0,bottom
C7,312.59466,-60.070652,180.0,bottom
C8,313.636456,-67.809708,270.0,bottom
C9,300.837248,-62.749556,45.0,bottom
D1,28.482008,-26.19375,90.0,bottom
D10,199.931864,-26.19375,90.0,bottom
D11,208.458432,-26.19375,270.0,bottom
D12,237.331064,-21.82812,0.0,bottom
D13,257.081816,-26.19375,90.0,bottom
D14,276.1318,-26.19375,90.0,bottom
D15,295.181784,-26.19375,90.0,bottom
D16,318.994264,-26.19375,90.0,bottom
D17,38.794512,-49.807784,0.0,bottom
D18,57.844496,-49.807784,0.0,bottom
D19,76.89448,-49.807784,0.0,bottom
D2,47.531992,-26.19375,90.0,bottom
D20,95.944464,-49.807784,0.0,bottom
D21,114.994448,-49.807784,0.0,bottom
D22,134.044432,-49.807784,0.0,bottom
D23,153.094416,-49.807784,0.0,bottom
D24,172.1444,-49.807784,0.0,bottom
D25,191.194384,-49.807784,0.0,bottom
D26,208.756088,-43.259352,270.0,bottom
D27,224.531856,-49.807784,0.0,bottom
D28,243.58184,-49.807784,0.0,bottom
D29,257.081816,-45.24375,90.0,bottom
D3,66.581976,-26.19375,90.0,bottom
D30,276.1318,-45.24375,90.0,bottom
D31,295.181784,-45.24375,90.0,bottom
D32,318.994264,-50.00625,90.0,bottom
D33,41.49328,-68.857808,0.0,bottom
D35,67.687008,-69.155488,0.0,bottom
D36,86.717128,-69.155488,0.0,bottom
D37,105.786976,-69.155488,0.0,bottom
D38,124.83696,-69.155488,0.0,bottom
